filepath,filename,folder,language,discipline,tokens,sentences,pairs,tokens_per_sentence
conllu/conllu_file/en/Ent/Ent4_en.conllu,Ent4_en.conllu,conllu/conllu_file/en/Ent,en,Ent,3717,187,186,19.877005347593585
conllu/conllu_file/en/Ent/Ent5_en.conllu,Ent5_en.conllu,conllu/conllu_file/en/Ent,en,Ent,2903,189,188,15.359788359788359
conllu/conllu_file/en/Ent/Ent6_en.conllu,Ent6_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1413,78,77,18.115384615384617
conllu/conllu_file/en/Ent/Ent7_en.conllu,Ent7_en.conllu,conllu/conllu_file/en/Ent,en,Ent,3176,237,236,13.40084388185654
conllu/conllu_file/en/Ent/Ent8_en.conllu,Ent8_en.conllu,conllu/conllu_file/en/Ent,en,Ent,2120,102,101,20.784313725490197
conllu/conllu_file/en/Ent/Ent9_en.conllu,Ent9_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1268,78,77,16.256410256410255
conllu/conllu_file/en/His/His10_en.conllu,His10_en.conllu,conllu/conllu_file/en/His,en,His,1876,132,131,14.212121212121213
conllu/conllu_file/en/His/His11_en.conllu,His11_en.conllu,conllu/conllu_file/en/His,en,His,2399,145,144,16.544827586206896
conllu/conllu_file/en/His/His12_en.conllu,His12_en.conllu,conllu/conllu_file/en/His,en,His,1939,125,124,15.512
conllu/conllu_file/en/His/His13_en.conllu,His13_en.conllu,conllu/conllu_file/en/His,en,His,2173,88,87,24.693181818181817
conllu/conllu_file/en/His/His14_en.conllu,His14_en.conllu,conllu/conllu_file/en/His,en,His,1988,90,89,22.08888888888889
conllu/conllu_file/en/His/His15_en.conllu,His15_en.conllu,conllu/conllu_file/en/His,en,His,3528,129,128,27.348837209302324
conllu/conllu_file/en/His/His1_en.conllu,His1_en.conllu,conllu/conllu_file/en/His,en,His,4368,200,199,21.84
conllu/conllu_file/en/His/His2_en.conllu,His2_en.conllu,conllu/conllu_file/en/His,en,His,1332,90,89,14.8
conllu/conllu_file/en/His/His3_en.conllu,His3_en.conllu,conllu/conllu_file/en/His,en,His,1807,84,83,21.511904761904763
conllu/conllu_file/en/His/His4_en.conllu,His4_en.conllu,conllu/conllu_file/en/His,en,His,1288,66,65,19.515151515151516
conllu/conllu_file/en/His/His5_en.conllu,His5_en.conllu,conllu/conllu_file/en/His,en,His,3194,159,158,20.08805031446541
conllu/conllu_file/en/His/His6_en.conllu,His6_en.conllu,conllu/conllu_file/en/His,en,His,1737,90,89,19.3
conllu/conllu_file/en/His/His7_en.conllu,His7_en.conllu,conllu/conllu_file/en/His,en,His,2080,109,108,19.08256880733945
conllu/conllu_file/en/His/His8_en.conllu,His8_en.conllu,conllu/conllu_file/en/His,en,His,1826,102,101,17.901960784313726
conllu/conllu_file/en/His/His9_en.conllu,His9_en.conllu,conllu/conllu_file/en/His,en,His,2087,70,69,29.814285714285713
conllu/conllu_file/en/Med/Med10_en.conllu,Med10_en.conllu,conllu/conllu_file/en/Med,en,Med,1875,82,81,22.865853658536587
conllu/conllu_file/en/Med/Med11_en.conllu,Med11_en.conllu,conllu/conllu_file/en/Med,en,Med,3799,211,210,18.00473933649289
conllu/conllu_file/en/Med/Med12_en.conllu,Med12_en.conllu,conllu/conllu_file/en/Med,en,Med,3290,164,163,20.0609756097561
conllu/conllu_file/en/Med/Med13_en.conllu,Med13_en.conllu,conllu/conllu_file/en/Med,en,Med,3405,157,156,21.687898089171973
conllu/conllu_file/en/Med/Med14_en.conllu,Med14_en.conllu,conllu/conllu_file/en/Med,en,Med,3869,179,178,21.614525139664803
conllu/conllu_file/en/Med/Med15_en.conllu,Med15_en.conllu,conllu/conllu_file/en/Med,en,Med,2183,132,131,16.53787878787879
conllu/conllu_file/en/Med/Med16_en.conllu,Med16_en.conllu,conllu/conllu_file/en/Med,en,Med,1251,72,71,17.375
conllu/conllu_file/en/Med/Med17_en.conllu,Med17_en.conllu,conllu/conllu_file/en/Med,en,Med,4152,213,212,19.492957746478872
conllu/conllu_file/en/Med/Med1_en.conllu,Med1_en.conllu,conllu/conllu_file/en/Med,en,Med,1847,104,103,17.759615384615383
conllu/conllu_file/en/Med/Med2_en.conllu,Med2_en.conllu,conllu/conllu_file/en/Med,en,Med,1993,125,124,15.944
conllu/conllu_file/en/Med/Med3_en.conllu,Med3_en.conllu,conllu/conllu_file/en/Med,en,Med,3217,175,174,18.382857142857144
conllu/conllu_file/en/Med/Med4_en.conllu,Med4_en.conllu,conllu/conllu_file/en/Med,en,Med,3092,139,138,22.244604316546763
conllu/conllu_file/en/Med/Med5_en.conllu,Med5_en.conllu,conllu/conllu_file/en/Med,en,Med,2184,105,104,20.8
conllu/conllu_file/en/Med/Med6_en.conllu,Med6_en.conllu,conllu/conllu_file/en/Med,en,Med,1799,110,109,16.354545454545455
conllu/conllu_file/en/Med/Med7_en.conllu,Med7_en.conllu,conllu/conllu_file/en/Med,en,Med,2630,123,122,21.382113821138212
conllu/conllu_file/en/Med/Med8_en.conllu,Med8_en.conllu,conllu/conllu_file/en/Med,en,Med,4071,208,207,19.572115384615383
conllu/conllu_file/en/Med/Med9_en.conllu,Med9_en.conllu,conllu/conllu_file/en/Med,en,Med,2286,111,110,20.594594594594593
